EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
32;20;5;81;96;20;33;55;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.0866
38;-2;3;23;111;19;-102;-100;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.0906
-17;-14;-2;-46;-82;-14;-36;-49;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.0906
-42;-7;-7;-58;-97;-21;73;75;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.0906
10;12;1;48;49;7;48;60;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.0906
30;4;0;23;84;14;-59;-50;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.0906
-5;-7;-4;-23;-36;-6;-49;-93;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.0916
-43;-9;-4;-60;-95;-21;62;58;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.0916
7;10;-1;37;23;8;42;50;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1116
28;-1;5;22;76;14;-48;-45;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1116
-5;-8;-3;-25;-37;-4;-47;-35;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1285
-34;-7;-4;-48;-88;-18;60;52;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1285
9;11;1;36;31;6;27;25;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1285
28;3;2;17;67;14;-61;-62;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1285
-6;-8;-1;-26;-41;-7;-24;5;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1335
-27;3;-2;-21;-66;-16;51;48;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1335
12;6;1;36;35;8;14;14;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1335
13;0;-2;5;38;4;-42;-40;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1345
-8;-5;-2;-22;-40;-5;-3;-25;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1589
-15;-2;-5;-20;-44;-8;29;24;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1589
10;5;1;24;23;5;-7;-1;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1599
4;0;-3;-2;21;2;-24;-25;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1599
-6;-4;-1;-9;-27;-6;-4;-8;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1819
-10;-4;0;-12;-29;-5;19;18;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1819
7;7;2;16;13;4;-4;22;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1829
-1;2;0;-4;15;-1;-18;-20;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1829
-2;0;-1;-10;-18;-2;-8;16;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1948
-10;-2;-2;-9;-29;-5;17;21;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.1948
-13;-13;-6;-46;-67;-14;-64;-59;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2327
-51;-15;-7;-75;-110;-29;80;45;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2327
6;11;2;46;37;7;72;80;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2327
41;-3;1;39;82;21;-77;-78;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2337
-2;-5;-2;-19;-34;-5;-51;-60;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2337
-35;-12;-6;-56;-69;-19;42;38;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2337
-8;7;-3;15;1;-1;64;92;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2352
36;3;0;35;78;17;-59;-66;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2352
6;-3;0;-9;-12;1;-55;-59;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2452
-27;-11;-3;-57;-72;-20;27;27;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2452
-7;7;-1;17;2;-1;70;77;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2691
31;1;5;35;70;20;-56;-44;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2691
5;-6;-2;-12;-22;-4;-49;-57;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2711
-29;-8;-3;-43;-73;-17;45;53;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2711
-4;11;1;24;13;1;41;22;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2751
26;1;2;26;58;13;-55;-51;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2761
-5;-9;-2;-21;-29;-5;-24;-18;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2921
-22;-2;-2;-30;-47;-12;34;36;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2921
4;6;-1;23;21;4;21;28;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2981
17;-1;1;11;32;4;-41;-43;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.2981
-8;-9;-1;-14;-31;-4;-19;-39;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3140
-13;-1;-7;-15;-31;-5;24;34;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3150
0;4;2;16;18;2;9;7;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3220
9;-1;-3;2;16;3;-20;-21;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3220
-2;-4;-1;-9;-24;-3;-11;-18;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3230
-7;-4;-1;-14;-23;-3;9;20;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3240
-3;3;-2;11;11;4;7;-28;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3440
8;-6;-3;3;15;3;-17;-21;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3450
-6;-2;-3;-9;-18;-4;-6;-15;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3460
-7;0;-2;-10;-24;-3;10;11;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3460
4;4;0;9;10;1;10;24;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3669
4;-3;0;1;14;4;-17;-14;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3669
-1;-2;-2;-7;-20;-3;-11;-12;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3689
-11;-2;0;-11;-24;-4;10;4;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3689
4;2;-1;7;9;2;-2;-1;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3819
4;0;-3;-2;11;0;-15;-18;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3819
-5;-1;4;-6;-20;-1;-6;-8;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3839
-7;-1;-2;-5;-18;-4;7;1;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.3839
4;2;4;11;10;5;5;7;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4038
0;-5;-3;-5;4;-1;-11;-10;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4038
-4;2;-1;-7;-17;-3;5;8;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4118
-3;-1;-2;-3;-14;-4;4;6;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4118
7;2;1;8;5;2;-4;31;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4178
-6;0;1;-3;1;-1;-10;-6;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4188
-5;-3;-1;-5;-15;-2;-3;10;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4347
-6;-2;-1;1;-12;-2;5;12;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4347
8;-1;1;6;3;-3;-6;2;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4417
0;-2;0;-5;0;2;-7;-12;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4417
-1;-4;2;-8;-13;-1;2;10;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4437
-2;3;-1;-1;-13;0;4;-11;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4437
1;1;-1;4;3;1;-13;-14;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4806
-2;-4;3;-9;0;-6;-8;-10;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4806
-2;1;-3;-5;-11;-2;8;-2;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4816
-5;3;0;-1;-12;-4;-2;-4;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4816
2;-1;-2;7;3;4;-7;-18;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4826
0;-1;1;-5;-2;-1;-6;2;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4826
-5;-2;-3;-4;-13;-3;1;-22;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4866
-3;-2;1;2;-11;-1;5;6;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.4866
5;2;-2;8;2;1;-14;-18;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5016
-3;-3;-2;-11;-3;-4;-6;-5;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5026
-1;0;-2;-4;-12;-3;2;6;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5035
-2;0;2;-1;-10;0;3;-15;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5035
7;-2;1;10;1;3;-10;-1;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5245
-2;-2;-1;-8;-5;-2;-4;-8;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5245
-4;3;0;-4;-12;-5;3;12;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5255
-2;1;-3;2;-10;-2;3;10;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5265
2;1;-1;1;0;2;-12;-14;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5380
-3;-4;-1;-9;-4;-1;-4;-10;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5380
-5;-2;-1;-5;-11;-3;2;-2;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5469
0;1;1;4;-10;1;3;12;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5469
4;-3;-1;7;1;-1;-17;-49;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5619
-1;0;-3;-3;-6;-5;-8;-11;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5619
-4;-5;2;-5;-13;3;3;7;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5848
0;-5;-5;2;-11;-2;4;-5;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5848
4;3;-1;7;-1;5;-7;29;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5858
-2;-2;-2;-7;-5;0;-5;-16;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5858
-3;-3;0;-2;-13;-2;3;-1;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5878
-1;-1;-2;3;-11;0;2;7;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.5878
3;1;0;6;1;2;-13;-23;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6078
-1;-1;-2;-6;-6;-6;-4;9;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6078
-3;-1;-2;-4;-13;-4;5;-4;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6088
-2;1;2;0;-11;1;0;-3;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6088
2;2;3;4;0;1;-15;-22;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6217
-2;2;-4;-5;-5;-1;1;24;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6217
-2;-8;-3;-5;-13;-4;1;18;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6237
-4;3;2;3;-10;-1;-2;-4;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6237
3;1;-1;6;1;4;-8;10;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6452
-4;1;-1;-10;-6;-2;-6;-13;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6452
-4;0;-1;-6;-12;-3;2;-8;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6462
2;3;-3;1;-10;-1;5;15;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6462
6;4;-3;9;1;1;-14;-6;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6671
-5;-1;0;-4;-6;-2;-6;-12;e55d85bf-83a2-4524-8579-47ebf5899032;2025-05-09 10:42:02.6671
