EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
6;-62;97;53;50;-19;-1;-14;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5020
8;-109;-81;-100;-29;11;7;-10;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5050
-13;-5;-73;-76;-68;19;13;-8;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5050
-7;76;53;71;45;-11;-7;-13;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5050
0;-32;64;52;42;-15;-16;-17;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5050
0;-62;-21;-52;-9;0;0;-10;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5050
0;-40;-86;-87;-47;20;12;12;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5050
0;68;50;59;15;-8;-2;-2;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5050
-1;-28;54;40;33;-17;-12;-12;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5219
8;-69;-16;-45;3;-5;-6;-4;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5229
-5;-18;-77;-76;-43;16;7;8;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5239
-5;63;58;56;18;-5;-3;-3;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5239
9;-23;28;40;30;-14;-9;-9;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5259
0;-73;-47;-60;-22;1;-2;1;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5259
0;-1;-70;-51;-36;14;7;9;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5509
-6;51;53;52;27;-10;-7;-7;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5509
3;-34;36;-33;17;-9;-3;-3;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5519
-10;-50;-57;-47;-8;4;2;-1;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5519
0;9;-36;-18;-27;6;0;2;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5638
4;27;39;34;9;-9;-9;-5;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5638
10;-32;35;-5;9;-4;-3;1;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5734
-3;-34;-22;-27;24;2;2;-1;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5734
-16;9;13;-7;-32;6;4;5;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5893
4;10;26;11;-13;-9;-6;-5;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5893
8;-26;31;-71;24;-5;-5;-4;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5903
-12;-24;-17;-26;-4;2;0;-10;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.5903
6;6;19;49;-17;1;2;7;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6098
17;7;17;16;16;3;-1;10;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6098
-7;-79;-110;-107;-71;29;12;17;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6566
3;98;83;97;17;-3;-3;6;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6566
44;-4;83;86;51;-18;-5;36;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6576
-5;-74;-30;-77;-6;0;-2;-33;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6576
-76;-82;-73;-88;-47;14;-3;-41;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6586
-10;47;29;47;2;-4;-6;6;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6586
25;22;67;74;43;-11;-7;20;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6626
30;-71;-19;-52;1;-6;5;7;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6626
22;-75;-75;-83;-41;24;20;1;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6636
-28;45;4;29;-3;4;2;-8;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6636
-39;28;64;76;36;-26;-18;-10;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6686
24;-71;-29;-56;-6;-3;0;70;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6686
64;-52;-64;-76;-40;22;22;29;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6776
51;55;31;48;11;1;-7;-10;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6776
10;-19;38;42;30;-14;15;35;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6836
25;-68;-26;-55;-5;8;1;-81;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6836
-52;-20;-54;-46;-31;10;7;80;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6995
78;31;14;37;-7;-20;-13;-8;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.6995
-119;15;24;45;24;-12;-26;-128;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7135
-10;-45;-6;-43;-8;-7;-30;16;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7135
56;-8;-20;-24;-22;1;46;61;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7225
57;17;29;22;34;41;46;93;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7225
-78;14;34;36;8;4;20;-60;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7374
35;-23;5;-17;-22;-28;-22;-80;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7374
71;-5;-19;-24;4;12;6;1;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7384
-52;-1;15;9;-5;-15;23;-42;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7384
127;-53;9;-10;17;21;-8;84;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7594
-113;-26;-13;-10;-9;-10;-12;92;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7604
-60;-28;-10;-17;-22;5;52;-9;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7614
82;10;11;-2;4;-13;103;16;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7614
11;-3;5;-8;11;16;-26;6;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7823
-35;-25;-25;-9;-20;-5;-71;97;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7823
-84;-3;-17;-10;-4;-23;-128;-128;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7833
-3;2;8;10;-1;1;109;18;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7843
-37;-20;21;0;8;-23;-128;-12;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7973
88;-28;-12;-18;7;14;127;40;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7973
52;3;-17;-16;-8;18;99;45;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7993
-33;1;19;10;17;36;39;-4;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.7993
45;-19;10;-8;-9;-8;70;42;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8202
-12;-16;-26;-21;-5;-2;-90;-17;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8202
-8;-6;-3;-8;3;3;96;14;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8212
8;-6;10;5;13;7;-36;45;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8212
-63;-30;-2;-10;4;-14;-16;-20;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8332
109;-17;-11;-9;12;40;58;81;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8332
0;20;-1;-1;-8;-28;-128;-61;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8422
-64;-8;4;-4;-7;-10;100;64;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8432
55;4;2;0;4;-13;-52;4;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8571
73;-10;-6;-8;1;6;91;67;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8571
63;-2;-3;3;-9;0;12;12;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8631
59;-9;2;-3;4;-2;-121;84;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8641
-103;-10;5;-1;5;-22;77;-85;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8801
-26;-13;-11;-7;-5;-2;91;-47;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8801
116;0;-8;-11;6;18;84;99;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8811
-2;-8;2;-2;-3;-3;90;-85;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.8811
20;-28;-4;-15;-7;10;-19;-23;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9030
-128;-12;-17;-12;-27;-36;-96;-126;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9030
19;5;-3;-3;-4;-1;-48;-44;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9040
82;-1;3;0;0;-9;33;33;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9050
17;-13;4;-7;-5;5;33;36;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9170
-14;-14;2;-6;32;38;-93;-41;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9170
-23;-4;2;0;-14;-20;71;17;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9190
-37;-9;7;-4;7;-8;-128;-33;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9190
31;-7;-8;-28;-17;-21;59;24;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9399
89;-11;-15;-8;-2;5;12;85;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9399
-86;15;7;11;1;14;18;-22;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9409
-26;-10;5;-5;4;-15;-17;-14;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9419
94;-42;-14;-33;-8;0;72;61;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9539
-43;-8;-14;-6;-15;-19;-49;-10;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9539
-17;3;0;1;6;-1;7;-51;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9628
-42;-7;2;-2;-2;-15;21;-34;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9628
-34;-28;-3;-14;-5;-5;-38;-28;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9778
51;-12;-3;-12;-3;18;-17;33;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9778
21;-3;-1;-1;5;12;60;26;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9788
-128;-9;2;-3;10;-7;-128;-26;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9788
11;-29;-1;-19;-3;3;81;-24;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9997
3;-13;-4;-9;-2;-2;-17;-25;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:56.9997
-6;3;3;3;-5;-2;50;17;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0017
15;-8;5;-5;3;-6;-44;-37;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0017
57;-23;-2;-11;7;7;9;75;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0137
-88;-10;-2;-5;-4;3;37;-57;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0137
-7;7;2;4;-6;-14;-56;19;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0297
55;-9;2;-7;8;0;25;23;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0297
-18;-26;-8;-16;-8;-2;-12;-1;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0451
-10;-12;-6;-7;-13;0;53;-84;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0451
104;-3;-1;-8;-24;-29;-35;49;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0461
-112;-10;2;-6;10;3;-98;-81;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0461
37;-30;-9;-22;-7;-6;35;-10;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0601
61;-13;-3;-8;5;3;54;2;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0601
-24;7;3;5;-1;-12;48;40;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0611
66;-10;3;-5;5;-7;-10;22;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0611
21;-31;-7;-16;-2;7;-19;44;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0730
-31;-13;-5;-7;-1;4;20;12;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.0730
-5;16;3;7;7;6;-98;-58;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1050
-84;-9;1;-4;-8;-18;67;-48;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1060
16;-15;-1;-9;4;3;-58;-15;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1060
42;-13;-7;-9;-6;-4;20;56;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1060
73;2;4;2;6;15;49;5;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1080
-23;-10;2;-4;-7;-18;-73;-6;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1080
8;-34;-7;-23;-4;-8;14;-23;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1199
9;-14;-5;-8;-10;0;-2;-22;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1199
84;0;-2;-3;3;8;-13;94;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1259
-43;-8;1;-6;4;-3;83;-27;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1259
-19;-29;2;-24;-8;-4;-44;36;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1334
83;-14;-20;-7;-10;-12;-43;13;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1334
-81;12;1;2;-5;-15;-16;-17;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1424
119;-11;3;-5;11;18;63;75;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1424
33;-22;-3;-14;-4;-3;1;-21;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1573
-128;-14;2;-8;-7;-13;7;-12;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1573
35;13;2;5;12;13;47;50;f1c15472-7fb4-45d6-90b9-63fe044d33a5;2025-05-09 10:51:57.1593
