Timestamp(ms); ID; FrameNumber; ActivatedCube; ActiveCubeX; ActiveCubeY; ActiveCubeZ; TrackerX; TrackerY; TrackerZ; GoalGesture; GesturesCompleted; State 
12-03-2025 13:58:35.5555; 0; 59; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.5664; 0; 60; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.5774; 0; 61; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.5884; 0; 62; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.6003; 0; 63; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.6113; 0; 64; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.6223; 0; 65; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.6333; 0; 66; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.6522; 0; 67; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.6622; 0; 68; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.6731; 0; 69; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.6851; 0; 70; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.6961; 0; 71; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.7071; 0; 72; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.7195; 0; 73; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.7295; 0; 74; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.7405; 0; 75; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.7514; 0; 76; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.7624; 0; 77; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.7744; 0; 78; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.7863; 0; 79; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.7963; 0; 80; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.8073; 0; 81; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.8193; 0; 82; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.8302; 0; 83; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.8412; 0; 84; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.8532; 0; 85; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.8641; 0; 86; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.8746; 0; 87; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.8866; 0; 88; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.8976; 0; 89; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.9085; 0; 90; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.9201; 0; 91; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.9310; 0; 92; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.9420; 0; 93; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.9540; 0; 94; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.9649; 0; 95; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.9759; 0; 96; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.9869; 0; 97; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:35.9988; 0; 98; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.0088; 0; 99; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.0208; 0; 100; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.0318; 0; 101; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.0427; 0; 102; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.0547; 0; 103; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.0657; 0; 104; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.0766; 0; 105; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.0886; 0; 106; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.0986; 0; 107; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.1095; 0; 108; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.1210; 0; 109; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.1320; 0; 110; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.1430; 0; 111; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.1549; 0; 112; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.1659; 0; 113; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.1770; 0; 114; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.1879; 0; 115; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.1989; 0; 116; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.2099; 0; 117; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.2218; 0; 118; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.2328; 0; 119; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.2438; 0; 120; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.2558; 0; 121; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.2667; 0; 122; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.2777; 0; 123; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.2887; 0; 124; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.3006; 0; 125; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.3106; 0; 126; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.3221; 0; 127; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.3331; 0; 128; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.3440; 0; 129; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.3560; 0; 130; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.3670; 0; 131; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.3779; 0; 132; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.3889; 0; 133; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.3999; 0; 134; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.4108; 0; 135; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.4228; 0; 136; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.4338; 0; 137; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.4448; 0; 138; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.4557; 0; 139; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.4674; 0; 140; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.4783; 0; 141; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.4893; 0; 142; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.5003; 0; 143; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.5122; 0; 144; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.5232; 0; 145; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.5342; 0; 146; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.5451; 0; 147; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.5571; 0; 148; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.5681; 0; 149; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.5791; 0; 150; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.5900; 0; 151; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.6020; 0; 152; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.6120; 0; 153; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.6234; 0; 154; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.6354; 0; 155; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.6464; 0; 156; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.6574; 0; 157; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.6683; 0; 158; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.6793; 0; 159; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.6907; 0; 160; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.7026; 0; 161; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.7126; 0; 162; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.7246; 0; 163; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.7355; 0; 164; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.7465; 0; 165; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.7575; 0; 166; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.7705; 0; 167; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.7804; 0; 168; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.7914; 0; 169; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.8024; 0; 170; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.8133; 0; 171; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.8243; 0; 172; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.8363; 0; 173; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.8473; 0; 174; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.8582; 0; 175; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.8702; 0; 176; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.8812; 0; 177; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:36.8921; 0; 178; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
