EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
-8;4;3;-6;-3;-3;-10;4;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1085
-2;-3;2;-6;-7;-4;-7;-1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1115
1;3;2;14;-8;2;-2;-5;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1115
2;-4;-1;20;5;5;3;-5;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1125
-2;-7;1;2;-2;-3;-1;-3;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1125
-1;4;4;0;1;-3;-1;1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1125
-3;1;-3;-15;5;-11;6;0;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1125
-1;0;3;-13;-5;-11;9;0;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1125
5;-5;1;2;-4;8;-13;-4;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1175
6;6;-5;2;-2;6;-14;-1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1175
4;3;7;1;4;3;-1;-2;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1255
0;-5;-5;-11;3;-1;0;3;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1255
-6;7;15;12;5;1;-1;1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1394
-1;18;2;2;-4;-8;-6;3;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1404
-13;-37;-9;-7;-10;-4;-5;-8;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1464
-2;1;-2;4;0;-1;7;-4;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1464
-1;-8;-4;1;5;10;9;-4;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1614
-1;-10;-10;-2;2;4;2;-1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1614
11;18;6;8;-2;3;-5;1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1733
6;-1;-1;1;-2;-3;-5;1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1733
2;-7;-4;-11;-8;-8;-4;4;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1928
-3;3;8;-8;-9;-1;0;3;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1928
-4;5;5;8;-1;-3;0;4;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1948
-7;-3;5;-1;1;-4;-9;0;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.1948
-3;12;-5;-3;4;-8;-1;-4;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2077
-2;-11;-2;2;6;5;2;2;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2077
2;1;-6;3;-3;-3;1;-5;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2466
-2;-1;-3;2;-2;0;-2;-3;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2466
-3;-3;5;1;-3;-2;2;-6;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2686
4;-1;3;-6;-7;-7;-1;-5;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2686
2;-3;7;-5;-3;-1;1;-2;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2696
3;2;7;-3;-4;-1;-1;-2;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2696
0;-4;0;-2;4;1;-5;0;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2706
-2;-6;-2;-5;2;4;0;0;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2706
5;-4;-3;-7;1;1;5;-2;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2716
1;2;-2;-2;1;-1;3;0;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2716
0;0;-5;2;-4;-3;4;0;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2756
-4;-1;-1;-1;-3;2;0;0;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2756
-3;1;-2;-5;-2;-3;-7;-1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2766
0;6;16;17;3;-4;-8;0;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2766
2;-12;-12;1;0;0;-3;6;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2980
-5;-2;-7;-3;-11;-2;-5;7;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2980
-4;-16;-8;-6;-6;3;-1;4;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2980
-5;-2;6;-8;-5;-1;1;-7;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.2980
-7;6;8;4;6;1;1;-3;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3120
0;-5;-8;8;1;-3;0;-6;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3120
-7;-5;-8;5;3;-2;-4;-1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3130
3;6;-12;-8;-3;0;-6;2;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3130
2;-2;-7;-15;-7;-3;-5;1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3341
1;2;9;-9;-3;-3;-2;0;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3341
-6;1;11;-2;-1;-3;2;5;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3351
2;-6;-5;1;2;-3;6;5;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3351
3;0;-7;4;6;3;6;-6;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3570
0;-3;-1;7;8;8;10;-9;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3580
6;-2;3;10;1;4;0;-6;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3730
-3;-11;-1;0;-5;5;0;-1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3730
-4;10;6;1;-5;2;-10;-1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3750
-2;7;3;0;-1;-11;-9;-5;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3750
-1;5;0;-2;5;-2;-4;-4;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3760
-2;6;-1;-5;-4;-3;-3;1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3760
4;-3;-3;-3;-9;-3;1;4;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3959
3;0;-4;5;-1;8;4;10;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3959
0;6;-1;-6;-11;0;4;9;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3969
-5;-15;-16;-10;13;-2;-2;-1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.3969
-4;-1;9;-9;-3;-4;-2;-6;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.4248
-8;-16;-14;16;15;1;-5;-12;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.4248
-1;3;-4;2;-11;-1;-8;-7;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.4478
-2;2;5;1;-9;-2;3;-3;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.4478
-4;-10;2;-15;2;-4;4;3;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.4927
-5;1;4;-5;3;1;4;2;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.4927
-1;-1;-1;-2;12;1;-2;-4;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.4937
10;7;5;1;1;-2;3;-9;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.4937
1;-13;-19;30;19;-2;11;-7;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.5475
8;15;1;-9;-20;-11;9;-1;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.5475
-1;-10;4;3;-4;-2;-2;3;912fdbb7-cfe8-4bd5-8fe3-82b298c9b1c5;2025-05-06 14:52:53.5475
