EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
0;-7;-3;2;1;0;0;0;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.7742
-4;-17;-2;9;10;10;7;1;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.7772
11;27;7;-1;-3;-2;-4;-3;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.7772
0;-3;0;-3;-2;-1;0;0;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.7772
-3;-6;-6;-7;-7;-2;-1;-6;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.7772
2;0;0;-4;-7;-13;-13;0;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.7772
-14;-11;-3;2;-1;19;30;20;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.7782
-7;-6;-6;-1;-5;-22;-44;-34;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.7782
-57;-12;-6;-6;-6;2;39;-26;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.7831
26;3;-1;-1;-3;-14;-19;-35;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.7831
3;-11;-9;-8;-7;1;22;19;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.7996
1;7;2;2;2;6;-14;41;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.7996
6;10;2;-2;-2;66;94;-5;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.8006
5;-1;-3;2;2;9;11;3;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.8006
1;17;9;3;-1;-6;12;9;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.8136
42;-5;-4;-1;-2;-31;-46;-11;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.8136
3;14;8;4;2;-49;-104;-3;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.8245
-27;-16;-22;-2;5;64;72;56;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.8245
41;14;18;7;8;18;-68;49;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.8385
-8;-6;-6;-3;-1;-43;24;-35;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.8385
11;5;2;0;6;45;12;58;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.8505
28;28;43;21;7;-128;-128;-68;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.8515
27;8;-17;-8;-1;46;71;-36;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.8594
17;4;2;-4;-2;-18;3;67;bdcec214-0975-4d8d-b937-a80737113846;2025-05-06 15:05:14.8594
