EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,GoalGesture,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ
0,-2,-10,-7,0,0,0,1,extension,0.24,0.6,0.6,0.268948,0.6583157,0.354295
2,5,2,20,8,8,7,4,extension,0.24,0.6,0.6,0.268948,0.6583157,0.354295
2,-1,10,-48,-2,-2,-6,-3,extension,0.24,0.6,0.6,0.268948,0.6583157,0.354295
-3,-8,-27,25,1,1,-1,0,extension,0.24,0.6,0.6,0.268948,0.6583157,0.354295
4,5,2,50,9,4,2,1,extension,0.24,0.6,0.6,0.2683895,0.6561556,0.3595685
-14,-23,-11,-40,-18,-11,-4,-7,extension,0.24,0.6,0.6,0.2683895,0.6561556,0.3595685
8,15,14,-103,8,12,9,7,extension,0.24,0.6,0.6,0.2683895,0.6561556,0.3595685
-2,-7,-5,-38,-12,-8,-10,-5,extension,0.24,0.6,0.6,0.2683895,0.6561556,0.3595685
-22,-28,-31,-21,-34,-29,-18,-18,extension,0.24,0.6,0.6,0.2680255,0.6552808,0.3621954
8,16,43,-5,15,14,10,7,extension,0.24,0.6,0.6,0.2680255,0.6552808,0.3621954
7,5,18,46,14,3,4,3,extension,0.24,0.6,0.6,0.2678673,0.6541505,0.3646348
-5,-13,-24,-40,-11,-2,0,-4,extension,0.24,0.6,0.6,0.2678673,0.6541505,0.3646348
4,4,12,-14,5,7,3,3,extension,0.24,0.6,0.6,0.2677148,0.6520367,0.3690587
17,30,28,59,43,26,16,11,extension,0.24,0.6,0.6,0.2677148,0.6520367,0.3690587
-13,-5,44,40,-28,-22,-16,-8,extension,0.24,0.6,0.6,0.2677148,0.6520367,0.3690587
-6,-12,-24,-29,-16,-14,-11,-9,extension,0.24,0.6,0.6,0.2677148,0.6520367,0.3690587
-7,-7,1,19,-2,-5,-6,-5,extension,0.24,0.6,0.6,0.2678248,0.6496295,0.3731707
4,4,-30,12,13,13,11,10,extension,0.24,0.6,0.6,0.2678248,0.6496295,0.3731707
-13,-21,-10,-24,-28,-20,-13,-11,extension,0.24,0.6,0.6,0.2678248,0.6496295,0.3731707
10,13,20,44,24,10,10,9,extension,0.24,0.6,0.6,0.2678248,0.6496295,0.3731707
2,9,-7,-32,-1,3,1,0,extension,0.24,0.6,0.6,0.2680767,0.6487609,0.3755108
