ID; Timestamp; FrameNumber; ActivatedCube; ActiveCubeX; ActiveCubeY; ActiveCubeZ; TrackerX; TrackerY; TrackerZ; GoalGesture; GesturesAtempted; AttemptsInCube; State; Event
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.7901; 33; None; ; ; ; 0.1988091; 0.6835272; 0.1573737; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.8011; 34; None; ; ; ; 0.1987797; 0.6829467; 0.1574514; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.8120; 35; None; ; ; ; 0.1987316; 0.6822832; 0.1574993; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.8230; 36; None; ; ; ; 0.1987465; 0.6817703; 0.1570218; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.8350; 37; None; ; ; ; 0.1987292; 0.6813455; 0.1569405; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.8460; 38; None; ; ; ; 0.1987516; 0.6811345; 0.1569839; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.8569; 39; None; ; ; ; 0.1987543; 0.6814449; 0.1569388; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.8684; 40; None; ; ; ; 0.1987818; 0.6817141; 0.1569207; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.8784; 41; None; ; ; ; 0.1985978; 0.6822859; 0.1567087; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.8909; 42; None; ; ; ; 0.1984496; 0.6831303; 0.1572816; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.9009; 43; None; ; ; ; 0.1982555; 0.6838777; 0.1573167; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.9129; 44; None; ; ; ; 0.1981556; 0.6843512; 0.1572266; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.9238; 45; None; ; ; ; 0.1979315; 0.6845418; 0.1574619; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:38.9348; 46; None; ; ; ; 0.1977323; 0.6846441; 0.1573536; extension; 0; ; Moving to rest position; 
