EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
-2;0;0;-3;-1;0;-1;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.5875
-1;-1;1;-1;0;-1;-2;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.5905
-1;-1;-1;-1;0;-1;-1;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.5910
-2;0;-1;-2;-3;0;-2;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.5910
0;-1;-1;-1;-1;-1;0;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.5910
-2;-1;-2;0;-1;-1;1;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.5910
-1;1;0;-1;-1;-1;0;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.5910
0;-2;-1;-1;1;-2;-1;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.5920
0;0;-2;-1;0;1;-2;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.5970
-2;-1;0;-2;-1;0;-1;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.5970
0;-2;-1;1;-1;0;-2;-3;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.6040
1;-3;-2;-1;0;-1;0;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.6040
-1;1;0;0;-1;-2;-1;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.6120
1;-2;-3;-1;0;-1;0;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.6130
-2;-1;-2;0;-3;0;-1;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.6429
-1;-1;1;-1;-1;0;-1;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.6429
-1;-1;0;0;-2;-1;0;1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.6439
-2;1;1;-3;-1;-2;0;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.6439
1;-1;-1;-1;0;0;-1;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.6748
-2;0;-1;-2;0;-1;1;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.6748
-2;0;-1;0;0;1;-1;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.6758
-1;-1;0;0;-1;-1;-2;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.6758
0;-2;-2;-2;0;-1;-2;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.7466
0;-1;-1;-2;-2;-1;1;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.7466
0;-2;-1;-2;0;-2;0;-2;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.7476
-4;-1;1;1;0;0;-1;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.7476
0;-1;-3;0;-2;-2;-1;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.7496
-1;-1;-3;0;-3;-1;-1;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.7496
1;-1;0;1;-2;-1;-2;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.8513
-1;0;-2;-3;-2;-1;0;1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.8513
-1;0;0;-2;-1;0;-1;-1;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.8553
-2;0;-1;-1;0;1;-2;-2;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.8553
-2;-1;-1;-1;0;0;-1;0;97bf5b93-216c-4fe5-8e1a-595fdbb8d059;2025-04-29 10:09:11.8563
