EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
-2;1;1;0;0;5;1;0;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:20:17.4212
0;3;-2;4;3;0;4;-1;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1533
-2;2;-8;-1;-3;0;-3;-4;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1573
-3;-6;-1;-3;-3;-5;-4;-2;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1623
-1;-2;1;-2;1;-2;3;2;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1623
1;3;2;1;0;2;2;3;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1633
0;-2;-6;-1;-1;-1;-3;-2;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1633
-3;-3;-2;-5;-2;11;-4;-3;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1643
-2;-4;2;2;-3;-13;1;-1;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1643
0;4;2;2;2;2;2;1;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1682
-2;2;-3;2;-1;-1;-2;-3;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1682
0;-3;-4;-3;-3;-2;-5;-2;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1712
0;-3;3;0;0;4;0;0;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1712
-1;-1;0;-1;1;0;2;1;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1922
0;2;-4;-1;-3;-1;-2;-3;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1922
-1;-6;-2;-2;-5;-8;-3;-3;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1922
-1;-3;3;0;1;-1;2;-1;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.1922
3;2;2;1;1;1;2;0;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.2011
-1;-1;-5;-5;0;4;-1;0;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.2011
-1;-2;-2;-4;-3;-3;-2;-1;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.2231
0;2;4;-1;0;-1;0;1;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.2231
-1;0;1;0;-1;1;-1;-2;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.2251
0;1;-2;-2;-2;-3;-2;0;6ea04699-8ac5-4bee-9125-28c217ea1e95;2025-05-06 12:15:10.2251
