EMG1MAV,EMG2MAV,EMG3MAV,EMG4MAV,EMG5MAV,EMG6MAV,EMG7MAV,EMG8MAV,EMG1Slope,EMG2Slope,EMG3Slope,EMG4Slope,EMG5Slope,EMG6Slope,EMG7Slope,EMG8Slope,EMG1ZC,EMG2ZC,EMG3ZC,EMG4ZC,EMG5ZC,EMG6ZC,EMG7ZC,EMG8ZC,EMG1SSC,EMG2SSC,EMG3SSC,EMG4SSC,EMG5SSC,EMG6SSC,EMG7SSC,EMG8SSC,EMG1WFL,EMG2WFL,EMG3WFL,EMG4WFL,EMG5WFL,EMG6WFL,EMG7WFL,EMG8WFL,activeCube,activeCubeX,activeCubeY,trackerX,trackerY,trackerZ,GoalGesture
2.025,1.925,2.575,1.4,1.475,2.55,2.8,11.2,-0.475,-0.225,-1.3,0.175,-0.3,-0.15,0.05,-3.35,11,16,10,15,10,11,20,18,22,24,27,25,24,16,27,21,120,104,156,89,82,133,169,651,0.0,-0.383,0.617,0.238,0.731,0.03,1
1.55,1.7,1.275,1.575,1.175,2.4,2.85,7.85,0.35,0.05,0.225,0.15,0.25,0.075,-0.225,4.125,15,19,12,12,7,14,16,19,25,20,28,23,23,21,26,24,92,91,82,85,67,149,159,513,0.0,-0.383,0.617,0.233,0.731,0.031,1
1.9,1.75,1.5,1.725,1.425,2.475,2.625,11.975,0.4,-0.05,0.325,0.15,0.15,0.1,0.05,0.65,16,13,14,15,9,22,19,19,23,16,22,22,24,24,23,25,97,89,83,95,86,161,157,683,0.0,-0.383,0.617,0.227,0.732,0.031,1
2.3,1.7,1.825,1.875,1.575,2.575,2.675,12.625,-0.15,0.1,0.025,0.3,-0.075,-0.375,0.275,-4.15,18,9,11,13,8,25,17,19,23,15,17,20,17,28,19,24,135,83,80,95,81,169,157,691,0.0,-0.383,0.617,0.22,0.733,0.032,1
2.15,1.8,1.85,2.175,1.5,2.2,2.95,8.475,-0.275,1.175,0.4,0.2,0.025,-0.775,-0.725,-4.225,15,9,7,13,6,19,12,18,26,18,15,15,12,26,17,26,137,91,70,94,59,141,172,478,0.0,-0.383,0.617,0.207,0.745,0.042,1
1.875,2.975,2.25,2.375,1.525,1.425,2.225,4.25,-0.125,1.275,0.05,-0.125,-0.125,-0.6,-1.125,-3.05,14,15,10,17,10,13,10,12,23,24,18,20,15,24,16,21,111,176,123,131,65,94,125,241,0.0,-0.383,0.617,0.163,0.778,0.077,1
1.75,4.25,2.3,2.25,1.4,0.825,1.1,1.2,1.275,1.425,1.425,-0.125,0.45,0.125,-0.025,0.275,13,22,16,15,11,5,8,6,22,25,27,20,20,15,14,15,101,264,139,123,71,44,48,66,0.0,-0.383,0.617,0.065,0.814,0.127,1
3.025,5.675,3.725,2.125,1.85,0.95,1.075,1.475,4.475,2.425,0.2,0.45,0.45,0.3,0.55,1.075,13,20,21,14,12,6,8,7,24,22,26,24,22,18,11,17,186,354,237,118,99,52,45,81,0.0,-0.383,0.617,-0.029,0.833,0.167,1
7.5,8.1,3.925,2.575,2.3,1.25,1.625,2.55,4.85,-0.325,-0.2,0.7,0.525,0.525,2.525,3.65,17,18,20,15,17,7,8,14,22,23,27,25,18,17,11,21,520,544,242,157,124,64,76,153,0.0,-0.383,0.617,-0.087,0.839,0.191,1
12.35,7.775,3.725,3.275,2.825,1.775,4.15,6.2,0.425,-0.175,1.55,0.25,0.1,0.125,0.675,1.575,23,18,15,18,16,12,15,20,27,22,27,23,16,19,18,21,846,504,240,201,155,105,240,366,0.0,-0.383,0.617,-0.13,0.837,0.212,1
12.775,7.6,5.275,3.525,2.925,1.9,4.825,7.775,-0.55,1.425,-0.45,0.025,-0.425,0.0,1.15,-0.725,23,19,22,20,17,14,15,21,25,24,27,23,21,25,23,28,838,500,353,208,176,113,300,484,0.0,-0.383,0.617,-0.157,0.831,0.23,1
12.225,9.025,4.825,3.55,2.5,1.9,5.975,7.05,4.0,-0.025,-0.45,0.425,0.625,0.95,6.5,3.625,21,19,24,24,16,15,14,20,23,23,23,26,24,22,21,28,760,581,309,217,148,110,392,413,0.0,-0.383,0.617,-0.171,0.822,0.246,1
16.225,9.0,4.375,3.975,3.125,2.85,12.475,10.675,1.4,0.85,2.625,0.475,0.9,1.675,8.9,3.8,21,16,22,22,15,16,19,22,27,24,22,25,20,19,22,24,995,531,260,237,160,171,771,636,0.0,-0.383,0.617,-0.182,0.813,0.257,1
17.625,9.85,7.0,4.45,4.025,4.525,21.375,14.475,-0.4,-0.75,0.825,-0.1,-0.15,-0.575,-2.075,-1.475,22,19,25,15,17,18,19,23,26,26,28,24,21,22,24,26,1138,629,440,245,229,288,1319,893,0.0,-0.383,0.617,-0.185,0.806,0.258,1
17.225,9.1,7.825,4.35,3.875,3.95,19.3,13.0,2.475,-1.85,-0.725,1.025,-0.675,-1.6,-7.3,-3.8,24,24,24,17,21,19,20,22,24,26,25,24,23,25,23,25,1107,579,513,276,243,255,1194,808,0.0,-0.383,0.617,-0.184,0.801,0.254,1
19.7,7.25,7.1,5.375,3.2,2.35,12.0,9.2,3.525,0.125,1.225,0.175,-0.1,-0.1,4.025,0.2,24,20,27,22,19,14,18,21,26,24,25,26,24,25,23,23,1269,381,505,364,180,134,730,529,0.0,-0.383,0.617,-0.183,0.8,0.252,1
23.225,7.375,8.325,5.55,3.1,2.25,16.025,9.4,0.25,0.225,-0.025,-1.525,0.2,0.7,6.725,0.05,25,23,27,23,17,17,19,21,28,26,27,27,23,25,25,21,1578,446,574,362,175,139,1007,542,0.0,-0.383,0.617,-0.181,0.801,0.252,1
23.475,7.6,8.3,4.025,3.3,2.95,22.75,9.45,0.6,0.7,-1.05,0.225,-0.1,0.4,-0.6,0.7,25,25,24,22,20,17,25,23,26,28,27,24,23,19,28,26,1557,498,504,245,201,171,1401,541,0.0,-0.383,0.617,-0.18,0.801,0.253,1
24.075,8.3,7.25,4.25,3.2,3.35,22.15,10.15,1.8,-0.7,-0.9,0.225,0.2,-0.5,-7.0,2.3,22,17,24,23,22,18,23,23,25,27,30,26,25,21,31,26,1442,521,441,258,206,205,1460,598,0.0,-0.383,0.617,-0.178,0.801,0.254,1
25.875,7.6,6.35,4.475,3.4,2.85,15.15,12.45,-3.15,-1.225,0.825,0.775,0.35,0.15,4.275,2.825,25,18,23,24,20,16,22,19,27,27,26,30,29,20,30,21,1637,472,414,284,221,164,1041,731,0.0,-0.383,0.617,-0.177,0.802,0.255,1
22.725,6.375,7.175,5.25,3.75,3.0,19.425,15.275,1.375,0.125,1.825,1.1,-0.225,1.05,8.5,2.025,25,17,18,26,19,15,22,21,24,21,23,28,27,19,27,25,1460,349,423,319,248,170,1306,967,0.0,-0.383,0.617,-0.175,0.803,0.257,1
24.1,6.5,9.0,6.35,3.525,4.05,27.925,17.3,6.425,0.725,0.525,-0.9,0.225,0.475,-3.775,-0.35,23,15,21,25,20,22,19,24,24,22,28,26,27,26,23,26,1518,368,630,416,243,285,1730,1120,0.0,-0.383,0.617,-0.174,0.804,0.259,1
30.525,7.225,9.525,5.45,3.75,4.525,24.15,16.95,1.1,1.775,-0.875,-0.125,0.2,0.0,-4.1,0.125,21,18,23,21,18,19,22,23,26,24,27,26,23,26,25,24,1965,439,651,374,241,300,1450,1000,0.0,-0.383,0.617,-0.174,0.805,0.26,1
31.625,9.0,8.65,5.325,3.95,4.525,20.05,17.075,3.025,0.525,0.45,-0.375,-0.175,-0.125,-2.15,-1.925,23,22,23,20,18,22,23,27,27,25,28,22,24,26,26,29,2211,571,557,331,239,311,1268,1144,0.0,-0.383,0.617,-0.173,0.806,0.26,1
34.65,9.525,9.1,4.95,3.775,4.4,17.9,15.15,-0.15,0.05,0.45,-0.375,-0.075,-1.35,-0.05,-1.55,25,20,29,23,23,26,19,23,25,26,31,23,30,29,22,28,2375,570,644,313,249,308,1066,980,0.0,-0.383,0.617,-0.173,0.806,0.26,1
34.5,9.575,9.55,4.575,3.7,3.05,17.85,13.6,-9.125,-0.425,-0.8,1.25,0.125,-0.2,0.85,-0.125,25,22,28,25,21,16,22,19,24,27,30,27,29,28,23,25,2264,556,678,333,241,205,1085,852,0.0,-0.383,0.617,-0.172,0.805,0.26,1
25.375,9.15,8.75,5.825,3.825,2.85,18.7,13.475,-3.0,-1.775,0.575,0.075,0.2,0.825,1.15,-0.425,21,23,25,22,22,16,20,25,24,24,28,27,27,23,24,25,1638,520,574,407,229,169,1102,854,0.0,-0.383,0.617,-0.171,0.805,0.26,1
22.375,7.375,9.325,5.9,4.025,3.675,19.85,13.05,3.05,0.7,-0.35,-0.975,-0.2,-0.15,0.775,-1.6,20,19,22,22,23,22,17,26,27,21,25,24,24,25,25,24,1524,420,607,393,246,242,1125,859,0.0,-0.383,0.617,-0.171,0.806,0.261,1
25.425,8.075,8.975,4.925,3.825,3.525,20.625,11.45,3.925,1.55,-1.65,-0.375,0.0,-0.15,-2.575,0.65,25,20,17,21,18,22,23,22,28,24,19,21,21,25,27,21,1715,507,527,314,229,234,1239,711,0.0,-0.383,0.617,-0.17,0.805,0.261,1
29.35,9.625,7.325,4.55,3.825,3.375,18.05,12.1,-5.4,-0.5,1.0,1.325,-0.425,-0.5,4.675,3.075,25,21,21,17,17,19,28,20,27,22,21,22,21,24,28,22,1972,548,400,290,213,206,1199,732,0.0,-0.383,0.617,-0.17,0.805,0.261,1
23.95,9.125,8.325,5.875,3.4,2.875,22.725,15.175,-4.0,0.35,0.05,-0.35,-0.375,0.025,0.925,-0.475,23,19,23,23,14,21,23,24,26,25,31,27,25,29,26,25,1459,489,559,389,193,186,1409,1047,0.0,-0.383,0.617,-0.17,0.805,0.26,1
19.95,9.475,8.375,5.525,3.025,2.9,23.65,14.7,3.6,-0.25,-0.55,-1.625,0.2,0.6,-1.35,-0.55,22,23,21,21,9,20,18,25,27,30,33,25,21,25,25,27,1219,615,563,335,160,184,1385,928,0.0,-0.383,0.617,-0.17,0.804,0.26,1
23.55,9.225,7.825,3.9,3.225,3.5,22.3,14.15,9.275,-1.325,-0.25,0.55,-0.15,0.125,1.225,5.35,21,24,19,17,16,16,18,26,24,26,30,22,20,19,25,26,1428,587,494,210,167,210,1421,826,0.0,-0.383,0.617,-0.17,0.804,0.26,1
32.825,7.9,7.575,4.45,3.075,3.625,23.525,19.5,3.8,0.3,-1.0,0.55,0.375,-0.15,1.15,-2.175,22,18,18,20,20,13,21,24,23,24,26,25,24,21,22,25,1991,458,470,269,184,213,1403,1200,0.0,-0.383,0.617,-0.17,0.803,0.261,1
