EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
-1;-3;7;-3;-2;-4;-3;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.0861
0;0;-10;-1;3;-2;-2;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.0891
4;1;1;-2;-3;-1;-2;2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.0891
3;2;1;1;-1;1;1;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.0891
-15;-4;3;5;-1;1;0;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.0911
1;0;7;-1;-3;0;-2;-3;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.0911
16;-1;-8;3;1;-2;1;5;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.0911
0;5;-2;-2;-5;-2;-2;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.0911
-18;10;-2;-10;-4;-1;-2;-8;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1061
1;-10;-10;1;4;-2;-2;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1061
-7;-4;0;-6;-2;-1;-3;-3;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1130
7;1;-2;0;3;-4;-4;2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1140
12;1;-8;1;1;5;9;6;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1210
-2;3;7;0;-1;-11;-12;1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1210
3;3;2;0;0;16;17;1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1220
2;-2;-2;-3;-2;-12;-1;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1220
1;-3;3;2;2;13;0;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1509
-1;-1;-2;-3;3;5;3;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1509
-3;-4;3;2;2;-6;-8;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1599
-9;-5;-13;-6;-5;-2;0;-3;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1599
5;1;2;2;-2;-6;-1;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1609
4;4;-2;-1;-3;1;3;1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1609
-6;2;14;2;-2;-4;-5;-4;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1619
-11;-3;-12;-1;2;2;0;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1619
4;-6;-3;-3;-1;-7;-4;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1689
2;0;-8;-2;-1;1;0;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1689
-3;1;6;2;0;-2;2;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1824
0;-2;0;-2;-2;0;0;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1824
2;0;-1;-2;-5;-4;-1;1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1834
-7;-10;7;-1;-4;4;3;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.1834
1;-3;-2;0;5;3;1;1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.2133
5;6;5;2;-1;1;-2;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.2133
-17;-9;-8;-1;0;-3;-4;-4;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.2183
0;2;3;1;-2;0;1;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.2183
-1;-1;-4;-4;-1;-3;-1;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.2183
4;-2;3;-1;2;-1;0;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.2183
5;5;7;-2;0;-5;-3;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.2332
-3;-1;-2;-1;-5;-2;-2;-3;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.2332
-4;-5;-18;-6;-5;-1;-3;-4;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.2482
-2;-1;13;1;0;4;1;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.2482
0;0;3;1;-1;-2;0;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3105
-2;2;7;4;1;-1;-2;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3105
-2;-2;-3;-5;2;-3;-1;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3115
0;1;-12;-3;2;-1;0;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3115
-2;0;5;2;0;-1;-2;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3125
1;2;3;-2;-4;0;0;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3125
-3;-7;0;0;-2;1;0;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3165
-1;-2;2;0;-6;-3;-2;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3165
0;-4;7;0;1;0;-1;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3175
-1;-3;-12;-5;-1;-4;0;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3175
2;0;15;2;-4;-3;-2;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3704
-7;-5;-6;-3;-3;-3;1;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3704
0;-1;-13;-6;-1;-2;1;2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3714
2;0;1;-1;2;1;1;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3714
-1;0;-4;1;-1;0;-3;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3759
-1;0;1;-1;-2;-1;-4;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3759
-1;0;-7;-3;1;2;-1;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3769
0;0;0;2;2;1;0;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3769
-2;-2;-1;-6;-5;0;-2;1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3778
-1;0;7;0;-3;1;-3;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3778
-3;-4;-21;0;1;-1;0;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4287
-3;-4;7;2;2;2;0;1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4287
-1;-2;0;-2;0;-4;-2;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4377
0;1;3;-1;1;-3;-2;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4377
4;5;1;-1;0;1;1;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4387
3;-4;-2;-2;0;-1;2;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4387
-2;1;-4;2;0;1;0;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4397
-6;-3;4;0;-3;-2;-1;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4397
1;3;6;2;0;-4;-1;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4517
-4;-1;-1;3;-1;-1;0;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4517
-3;-6;-15;-5;-4;-3;-3;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4526
0;1;2;1;-2;-1;-1;-3;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4536
-2;-2;-2;0;-1;1;0;1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4536
1;-1;1;2;5;1;0;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4536
0;-1;1;-4;-3;1;-2;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5040
0;-1;-8;-3;-2;0;0;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5040
-2;1;4;1;-1;0;-3;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5270
0;-1;1;-1;-3;0;0;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5270
-1;-1;-6;-2;1;1;1;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5289
-1;-1;0;-6;-1;-1;1;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5289
0;0;1;-1;-3;-1;0;1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5299
0;0;-5;-2;0;-1;0;1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5299
-1;1;4;1;0;-2;-1;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5718
-5;-3;2;0;1;-1;-3;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5728
1;4;-2;0;1;-1;-3;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5728
2;2;-3;-3;2;-1;-1;0;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5728
-3;-3;-13;-5;-2;-2;-1;-2;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5738
-2;1;2;-1;-1;0;-1;-1;ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5738
