EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
-36;-1;2;-3;-2;-34;-84;-22;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6115
40;-3;-11;1;-2;16;24;98;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6145
68;18;8;1;4;-11;74;83;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6215
-84;6;-14;-8;-4;-3;-83;32;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6215
-23;-2;-5;-4;2;39;17;63;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6305
-52;-6;24;3;-9;-4;-20;56;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6315
-20;-6;-19;-6;-3;-29;-108;25;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6315
-40;-38;-31;-25;-14;-2;43;-68;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6315
80;-31;-19;-17;-6;52;-6;-57;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6345
88;44;34;26;8;-29;15;69;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6345
-53;6;11;-5;-2;40;-27;-15;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6385
34;-10;-2;12;3;-37;-53;15;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6390
14;15;-17;-6;-1;-50;-76;90;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6390
48;11;18;4;3;56;103;-102;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6390
2;-30;-18;-8;-4;-5;5;-31;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6549
6;39;22;9;11;-14;-96;62;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6559
37;-12;11;-4;-20;-25;-19;-95;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6599
-26;-11;-29;-5;10;17;-40;46;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6599
-32;16;28;14;3;1;-94;58;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6759
20;6;16;6;6;-20;-7;-12;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6759
-10;1;5;4;-3;-8;14;127;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6898
-17;-15;-1;-3;-14;-74;-56;-67;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6898
-35;-32;-34;-20;-6;44;109;-92;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6998
17;11;29;13;5;-27;-45;77;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.6998
2;-14;-2;10;10;-67;-90;-7;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.7008
58;26;44;24;12;90;90;91;ef756a7d-4528-4d20-b203-c24deac6df92;2025-05-08 12:20:09.7008
