EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
3;-1;-7;-13;1;0;-4;2;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5131
-1;-1;-5;-3;-4;-6;-2;-3;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5161
-5;1;2;6;0;-1;2;-4;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5161
-1;1;2;0;0;0;1;0;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5161
3;-1;0;-6;0;-2;-4;2;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5171
1;-1;-5;-3;-3;-3;-2;-1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5171
-2;-1;4;4;-5;0;0;-3;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5171
-3;-2;-2;-5;2;3;0;-3;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5171
-3;-2;0;3;-3;0;3;-3;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5231
-2;1;1;8;1;2;1;-1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5231
1;-4;-4;-9;2;-2;-1;0;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5575
-1;0;-3;0;-2;-5;-3;0;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5575
-4;-1;1;6;-2;1;1;-2;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5575
1;-3;0;-1;-3;0;-1;0;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5575
2;-1;-7;-11;-1;-2;-2;1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5605
0;-2;0;1;-1;-1;1;-2;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5605
0;-1;2;-1;-1;-1;1;-1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5695
-1;-1;0;-11;-2;-2;-1;1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5705
1;-1;2;9;1;-1;-2;-3;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5765
-1;0;-2;-3;-3;-3;-1;-1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5765
-2;-1;-2;2;1;-1;1;-1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5904
1;-1;0;0;1;3;1;0;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5914
0;1;-1;-5;-3;0;-2;0;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5924
-1;0;3;1;0;-1;-2;-1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.5924
-3;2;-1;2;-2;-1;-2;-1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6134
-3;1;-3;0;0;-1;-1;-2;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6144
-2;-2;-1;-11;0;-3;0;-2;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6164
-1;-2;-3;-2;-3;0;2;0;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6164
-3;3;4;1;0;2;2;0;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6577
-1;-2;-2;-8;0;0;-3;1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6577
2;-2;-3;-5;-1;-4;-5;0;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6587
-3;-2;2;4;-4;-1;0;-4;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6587
-3;0;4;-3;-1;2;2;-4;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6667
2;-1;-2;-8;4;2;0;-1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6667
2;-2;-1;10;0;-5;-4;0;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6667
-2;1;-2;4;-5;-4;0;-2;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6667
-4;-2;-1;2;0;0;0;-1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6687
2;1;0;-5;1;1;-1;1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6687
4;1;-5;-10;0;-2;-3;1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6717
-1;0;2;6;0;-3;1;-2;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6717
-3;-2;1;4;-4;1;3;0;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6867
0;-2;-3;-2;3;0;-1;1;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6867
2;-2;-5;-13;-4;-4;-5;-2;59d66861-d167-45e9-9c3d-92babe0d4010;2025-05-08 12:08:07.6947
